idx_in_subset,AP,query_image
276,0.96685,0134_c001_00064795_1.jpg
277,0.550447,0134_c002_00063575_0.jpg
278,0.903318,0134_c003_00049335_0.jpg
279,0.596154,0134_c004_00049285_0.jpg
280,0.901699,0134_c005_00051340_0.jpg
281,0.538488,0134_c006_00047550_1.jpg
282,0.983008,0134_c007_00051615_0.jpg
283,0.761325,0134_c008_00049955_0.jpg
284,0.835043,0134_c009_00049775_0.jpg
285,0.552508,0134_c010_00061445_0.jpg
286,0.921779,0134_c011_00061670_0.jpg
287,0.909849,0134_c012_00065940_0.jpg
288,0.516142,0134_c013_00065515_0.jpg
289,0.90393,0134_c014_00070330_0.jpg
290,0.531803,0134_c015_00070000_1.jpg
291,0.532837,0134_c016_00071425_0.jpg
292,0.831523,0134_c017_00067610_0.jpg
293,0.493697,0134_c019_00068345_0.jpg
294,0.685215,0135_c001_00061845_0.jpg
295,0.783412,0135_c002_00068195_1.jpg
296,0.614492,0135_c003_00070150_0.jpg
297,0.762841,0135_c004_00070135_0.jpg
298,0.741798,0135_c005_00070830_0.jpg
299,0.630176,0135_c006_00069415_0.jpg
300,0.689833,0135_c007_00070935_0.jpg
301,0.332787,0135_c008_00070415_0.jpg
302,0.506431,0135_c009_00070340_0.jpg
303,0.67423,0135_c010_00069590_1.jpg
304,0.599724,0135_c011_00069430_0.jpg
305,0.71564,0135_c012_00060335_0.jpg
306,0.802699,0135_c013_00060430_0.jpg
307,0.667663,0135_c014_00058310_1.jpg
308,0.708515,0135_c015_00058375_0.jpg
309,0.717783,0135_c016_00057900_0.jpg
310,0.625092,0135_c017_00059590_0.jpg
311,0.805689,0135_c019_00059320_0.jpg
312,0.699424,0142_c014_00086485_0.jpg
313,0.786679,0142_c015_00086515_0.jpg
314,0.618143,0142_c016_00086325_0.jpg
315,0.773671,0142_c017_00088125_0.jpg
316,0.650098,0142_c019_00088350_0.jpg
317,0.495821,0143_c001_00072350_0.jpg
318,0.541371,0143_c012_00073035_0.jpg
319,0.49355,0143_c013_00072830_0.jpg
320,0.462159,0143_c014_00074735_0.jpg
321,0.515495,0143_c015_00074530_0.jpg
322,0.614938,0143_c016_00076535_0.jpg
323,0.375152,0143_c017_00073710_0.jpg
324,0.520735,0143_c019_00073915_0.jpg
325,0.875459,0144_c001_00029300_0.jpg
326,0.7853,0144_c012_00027240_0.jpg
327,0.775955,0144_c013_00027420_0.jpg
328,0.77225,0144_c014_00024350_0.jpg
329,0.822629,0144_c015_00024580_0.jpg
330,0.636374,0144_c017_00026280_0.jpg
331,0.441568,0145_c014_00025420_0.jpg
332,0.803818,0145_c015_00025300_0.jpg
333,0.660837,0145_c016_00026460_1.jpg
334,0.331709,0150_c001_00048515_0.jpg
335,0.555487,0150_c012_00048975_0.jpg
336,0.439376,0150_c013_00048845_0.jpg
337,0.570114,0150_c014_00050980_0.jpg
338,0.479386,0150_c015_00050780_0.jpg
339,0.465881,0150_c017_00049560_2.jpg
340,0.504022,0150_c019_00049885_1.jpg
341,0.629898,0151_c001_00004585_0.jpg
342,0.882746,0151_c002_00005015_0.jpg
343,0.899176,0151_c003_00006420_0.jpg
344,0.810998,0151_c004_00006390_0.jpg
345,0.842914,0151_c005_00087425_0.jpg
346,0.500557,0151_c006_00005730_0.jpg
347,0.947694,0151_c007_00087570_0.jpg
348,0.77712,0151_c008_00006650_0.jpg
349,0.933678,0151_c009_00006530_0.jpg
350,0.88011,0151_c010_00005835_1.jpg
351,0.578494,0151_c011_00005670_0.jpg
352,0.657883,0151_c012_00002630_0.jpg
353,0.981067,0151_c013_00002700_1.jpg
354,0.973564,0151_c015_00000890_0.jpg
355,0.9577,0151_c016_00000325_0.jpg
356,0.660416,0151_c017_00002085_0.jpg
357,0.938285,0151_c019_00001850_0.jpg
358,0.797488,0154_c001_00039250_0.jpg
359,0.822049,0154_c012_00039640_0.jpg
360,0.755599,0154_c013_00039540_1.jpg
361,0.501599,0154_c014_00041025_0.jpg
362,0.813052,0154_c015_00040885_0.jpg
363,0.826048,0154_c016_00042110_0.jpg
364,0.632186,0154_c017_00040080_1.jpg
365,0.87998,0154_c019_00040335_0.jpg
366,0.746233,0162_c003_00033265_0.jpg
367,0.537086,0162_c004_00033160_0.jpg
368,0.677013,0162_c008_00032930_0.jpg
369,0.620734,0162_c009_00033030_0.jpg
370,0.704963,0166_c001_00038230_0.jpg
371,0.683828,0166_c013_00037090_0.jpg
372,0.699065,0166_c014_00035220_0.jpg
373,0.529055,0166_c016_00034905_1.jpg
374,0.697014,0166_c017_00036360_0.jpg
375,0.83912,0172_c001_00085765_0.jpg
376,0.813698,0172_c002_00079590_0.jpg
377,0.717644,0172_c003_00078210_0.jpg
378,0.62852,0172_c004_00078125_0.jpg
379,0.76684,0172_c006_00078815_1.jpg
380,0.96921,0172_c010_00078820_0.jpg
381,0.743977,0172_c011_00078830_0.jpg
