idx_in_subset,query_name,AP_modelA,AP_modelB,AP_max,chosen_model
220,0118_c004_00089005_0.jpg,0.9309318996607392,0.7783373723018245,0.9309318996607392,A
221,0118_c005_00089810_1.jpg,1.0,0.9933835030789012,1.0,A
222,0118_c006_00088190_1.jpg,0.7588023227344028,0.9588977205918028,0.9588977205918028,B
223,0118_c007_00089905_0.jpg,0.9841553658764848,0.8863057812437212,0.9841553658764848,A
224,0118_c008_00089315_1.jpg,0.9970978348385793,0.9305598612233505,0.9970978348385793,A
225,0118_c009_00089270_0.jpg,0.9666995033970054,0.9963282913230073,0.9963282913230073,B
226,0118_c010_00088410_0.jpg,0.916540455511992,0.9818332752886674,0.9818332752886674,B
227,0118_c011_00088230_1.jpg,0.8536647981595696,0.857020292476644,0.857020292476644,B
228,0118_c012_00066905_0.jpg,0.9040781715062629,0.8613918168637388,0.9040781715062629,A
229,0118_c013_00067000_0.jpg,0.9988625336927224,0.9874727780410759,0.9988625336927224,A
230,0118_c014_00065420_0.jpg,0.9013238782004227,0.5538387123829456,0.9013238782004227,A
231,0118_c015_00065420_0.jpg,0.9970169243563365,0.9728191237943616,0.9970169243563365,A
232,0118_c016_00065230_0.jpg,0.9992359424621707,0.9210527114927004,0.9992359424621707,A
233,0118_c017_00066255_0.jpg,0.9392484370123839,0.9183136701193964,0.9392484370123839,A
234,0118_c019_00065995_1.jpg,0.9982575757575757,0.9396149429723792,0.9982575757575757,A
235,0122_c001_00036500_0.jpg,1.0,0.8091522963575125,1.0,A
236,0122_c012_00036985_0.jpg,0.26130874445054825,0.21307888345303302,0.26130874445054825,A
237,0122_c013_00036865_0.jpg,0.8868173792913768,0.7632050935064251,0.8868173792913768,A
238,0122_c015_00038450_0.jpg,0.8945386164773824,0.6387969562149428,0.8945386164773824,A
239,0122_c016_00039735_0.jpg,0.8715581848731372,0.6842730838541814,0.8715581848731372,A
240,0122_c019_00037970_1.jpg,0.8099482862067281,0.6064372738213543,0.8099482862067281,A
241,0126_c001_00005395_0.jpg,0.5727258095680942,0.9634931633032819,0.9634931633032819,B
242,0126_c002_00059155_0.jpg,0.5879221554949676,0.9716989392978373,0.9716989392978373,B
243,0126_c003_00061005_1.jpg,0.5224914903365989,0.9592406600510399,0.9592406600510399,B
244,0126_c004_00060980_0.jpg,0.5731074067608396,0.9589059957180198,0.9589059957180198,B
245,0126_c005_00061745_1.jpg,0.7304296252930096,0.9682333801640414,0.9682333801640414,B
246,0126_c006_00060265_0.jpg,0.5232177190211249,0.9639445598388479,0.9639445598388479,B
247,0126_c007_00061840_0.jpg,0.26176764410286857,0.9052663793059635,0.9052663793059635,B
248,0126_c008_00061250_0.jpg,0.6803238072249204,0.9634258045816829,0.9634258045816829,B
249,0126_c009_00061190_0.jpg,0.6569237727967925,0.9603716955055526,0.9603716955055526,B
250,0126_c010_00060400_0.jpg,0.5099970943124806,0.9744980303274741,0.9744980303274741,B
251,0126_c011_00060250_0.jpg,0.5180045152137555,0.9701912520036606,0.9701912520036606,B
252,0126_c012_00003945_0.jpg,0.6285091302721559,0.9091523372666201,0.9091523372666201,B
253,0126_c013_00004060_0.jpg,0.8338734115880954,0.9569334977999868,0.9569334977999868,B
254,0126_c014_00002490_1.jpg,0.4770585094634855,0.9660553713834927,0.9660553713834927,B
